Name,Policy,Comment,Type
Diya,Digital India Policy,Add more awareness campaigns for the Digital India Policy so people understand it better.,suggestion
Alok,Education Reform Bill,The Education Reform Bill is good but should include rural areas more effectively.,suggestion
Ananya,Clean Ganga Mission,"The Clean Ganga Mission is very beneficial for common people, excellent move.",positive
Suresh,Smart Cities Mission,"The Smart Cities Mission is too complicated, common people won’t benefit much.",negative
Priya,Healthcare Access Policy,The Healthcare Access Policy is good but should include rural areas more effectively.,suggestion
Manoj,Clean Ganga Mission,"I really support the Clean Ganga Mission, it's a great step for our nation.",positive
Neha,Startup India Initiative,"I really support the Startup India Initiative, it's a great step for our nation.",positive
Lakshmi,National Agriculture Policy,Please add more transparency to the National Agriculture Policy for better trust.,suggestion
Sai,Smart Cities Mission,The Smart Cities Mission is good but should include rural areas more effectively.,suggestion
Harshit,Smart Cities Mission,"The Smart Cities Mission is too complicated, common people won’t benefit much.",negative
Rekha,Clean Ganga Mission,"The Clean Ganga Mission is very beneficial for common people, excellent move.",positive
Siddharth,Women Empowerment Policy,"This Women Empowerment Policy will bring positive changes, proud of this initiative.",positive
Akash,Startup India Initiative,This Startup India Initiative seems more like a political stunt than a real solution.,negative
Sanya,Clean Ganga Mission,Add more awareness campaigns for the Clean Ganga Mission so people understand it better.,suggestion
Ramesh,Environmental Protection Act,This Environmental Protection Act lacks proper planning and execution.,negative
Sanya,Digital India Policy,"This Digital India Policy will bring positive changes, proud of this initiative.",positive
Aditya,Healthcare Access Policy,Please add more transparency to the Healthcare Access Policy for better trust.,suggestion
Kunal,Healthcare Access Policy,"A much needed Healthcare Access Policy, thank you for implementing this.",positive
Nikhil,Education Reform Bill,"A much needed Education Reform Bill, thank you for implementing this.",positive
Alok,Startup India Initiative,"This Startup India Initiative will bring positive changes, proud of this initiative.",positive
Vihaan,Smart Cities Mission,Please add more transparency to the Smart Cities Mission for better trust.,suggestion
Vivaan,Cybersecurity Framework,The Cybersecurity Framework is good but should include rural areas more effectively.,suggestion
Meera,Cybersecurity Framework,Consider reducing bureaucracy delays under the Cybersecurity Framework.,suggestion
Akash,Women Empowerment Policy,"The Women Empowerment Policy is very beneficial for common people, excellent move.",positive
Deepak,National Agriculture Policy,"Not satisfied with the National Agriculture Policy, it doesn’t solve ground-level problems.",negative
Ramesh,National Agriculture Policy,Please add more transparency to the National Agriculture Policy for better trust.,suggestion
Rajesh,Environmental Protection Act,"Not satisfied with the Environmental Protection Act, it doesn’t solve ground-level problems.",negative
Sai,Clean Ganga Mission,This Clean Ganga Mission seems more like a political stunt than a real solution.,negative
Vihaan,Healthcare Access Policy,Consider reducing bureaucracy delays under the Healthcare Access Policy.,suggestion
Riya,Healthcare Access Policy,"I don’t think the Healthcare Access Policy is practical, it will face many issues.",negative
Mohit,Women Empowerment Policy,"Not satisfied with the Women Empowerment Policy, it doesn’t solve ground-level problems.",negative
Alok,Digital India Policy,This Digital India Policy lacks proper planning and execution.,negative
Ramesh,Smart Cities Mission,"I don’t think the Smart Cities Mission is practical, it will face many issues.",negative
Manoj,Healthcare Access Policy,"I don’t think the Healthcare Access Policy is practical, it will face many issues.",negative
Manoj,National Agriculture Policy,Please add more transparency to the National Agriculture Policy for better trust.,suggestion
Rohan,Cybersecurity Framework,"I don’t think the Cybersecurity Framework is practical, it will face many issues.",negative
Suresh,Clean Ganga Mission,"A much needed Clean Ganga Mission, thank you for implementing this.",positive
Ishaan,Startup India Initiative,"A much needed Startup India Initiative, thank you for implementing this.",positive
Siddharth,Healthcare Access Policy,"The Healthcare Access Policy is too complicated, common people won’t benefit much.",negative
Sneha,National Agriculture Policy,Add more awareness campaigns for the National Agriculture Policy so people understand it better.,suggestion
Aarav,Startup India Initiative,This Startup India Initiative seems more like a political stunt than a real solution.,negative
Lakshmi,Clean Ganga Mission,The Clean Ganga Mission should focus more on youth involvement.,suggestion
Kunal,Clean Ganga Mission,"The Clean Ganga Mission is very beneficial for common people, excellent move.",positive
Rajesh,Environmental Protection Act,"I don’t think the Environmental Protection Act is practical, it will face many issues.",negative
Rajesh,Education Reform Bill,"This Education Reform Bill will bring positive changes, proud of this initiative.",positive
Meera,Digital India Policy,"Really happy with the Digital India Policy, it's very progressive.",positive
Diya,Digital India Policy,Consider reducing bureaucracy delays under the Digital India Policy.,suggestion
Rohan,Clean Ganga Mission,The Clean Ganga Mission should focus more on youth involvement.,suggestion
Ramesh,Digital India Policy,"The Digital India Policy is too complicated, common people won’t benefit much.",negative
Harshit,Environmental Protection Act,"A much needed Environmental Protection Act, thank you for implementing this.",positive
Rajesh,Cybersecurity Framework,Add more awareness campaigns for the Cybersecurity Framework so people understand it better.,suggestion
Deepak,National Agriculture Policy,"I don’t think the National Agriculture Policy is practical, it will face many issues.",negative
Kunal,Startup India Initiative,"Really happy with the Startup India Initiative, it's very progressive.",positive
Shivani,Healthcare Access Policy,"Not satisfied with the Healthcare Access Policy, it doesn’t solve ground-level problems.",negative
Ananya,National Agriculture Policy,"Not satisfied with the National Agriculture Policy, it doesn’t solve ground-level problems.",negative
Rajesh,Startup India Initiative,"A much needed Startup India Initiative, thank you for implementing this.",positive
Amit,Women Empowerment Policy,Please add more transparency to the Women Empowerment Policy for better trust.,suggestion
Sai,Smart Cities Mission,"Really happy with the Smart Cities Mission, it's very progressive.",positive
Vihaan,Education Reform Bill,This Education Reform Bill seems more like a political stunt than a real solution.,negative
Aarav,Women Empowerment Policy,"Really happy with the Women Empowerment Policy, it's very progressive.",positive
Mohit,Startup India Initiative,This Startup India Initiative lacks proper planning and execution.,negative
Neha,Women Empowerment Policy,This Women Empowerment Policy seems more like a political stunt than a real solution.,negative
Amit,National Agriculture Policy,"Not satisfied with the National Agriculture Policy, it doesn’t solve ground-level problems.",negative
Rajesh,Healthcare Access Policy,"I don’t think the Healthcare Access Policy is practical, it will face many issues.",negative
Riya,Healthcare Access Policy,The Healthcare Access Policy should focus more on youth involvement.,suggestion
Kavita,Cybersecurity Framework,"This Cybersecurity Framework will bring positive changes, proud of this initiative.",positive
Siddharth,Cybersecurity Framework,"This Cybersecurity Framework will bring positive changes, proud of this initiative.",positive
Vivaan,National Agriculture Policy,"I really support the National Agriculture Policy, it's a great step for our nation.",positive
Krishna,Smart Cities Mission,"Not satisfied with the Smart Cities Mission, it doesn’t solve ground-level problems.",negative
Harshit,Environmental Protection Act,"I don’t think the Environmental Protection Act is practical, it will face many issues.",negative
Sunita,Environmental Protection Act,"The Environmental Protection Act is very beneficial for common people, excellent move.",positive
Ananya,Startup India Initiative,This Startup India Initiative lacks proper planning and execution.,negative
Alok,Education Reform Bill,"I don’t think the Education Reform Bill is practical, it will face many issues.",negative
Aarav,National Agriculture Policy,Consider reducing bureaucracy delays under the National Agriculture Policy.,suggestion
Rajesh,Clean Ganga Mission,This Clean Ganga Mission lacks proper planning and execution.,negative
Vivaan,Education Reform Bill,Consider reducing bureaucracy delays under the Education Reform Bill.,suggestion
Neha,Environmental Protection Act,"The Environmental Protection Act is very beneficial for common people, excellent move.",positive
Geeta,Digital India Policy,"Not satisfied with the Digital India Policy, it doesn’t solve ground-level problems.",negative
Rajesh,Education Reform Bill,This Education Reform Bill seems more like a political stunt than a real solution.,negative
Amit,Healthcare Access Policy,"The Healthcare Access Policy is too complicated, common people won’t benefit much.",negative
Sneha,National Agriculture Policy,"I really support the National Agriculture Policy, it's a great step for our nation.",positive
Lakshmi,Education Reform Bill,This Education Reform Bill lacks proper planning and execution.,negative
Nikhil,Startup India Initiative,"I really support the Startup India Initiative, it's a great step for our nation.",positive
Priya,Women Empowerment Policy,"A much needed Women Empowerment Policy, thank you for implementing this.",positive
Vihaan,Education Reform Bill,"Really happy with the Education Reform Bill, it's very progressive.",positive
Vivaan,National Agriculture Policy,"Really happy with the National Agriculture Policy, it's very progressive.",positive
Aarav,National Agriculture Policy,The National Agriculture Policy should focus more on youth involvement.,suggestion
Kunal,Cybersecurity Framework,This Cybersecurity Framework seems more like a political stunt than a real solution.,negative
Kavita,Women Empowerment Policy,"The Women Empowerment Policy is very beneficial for common people, excellent move.",positive
Riya,Environmental Protection Act,Consider reducing bureaucracy delays under the Environmental Protection Act.,suggestion
Rohan,Startup India Initiative,The Startup India Initiative is good but should include rural areas more effectively.,suggestion
Alok,Smart Cities Mission,This Smart Cities Mission lacks proper planning and execution.,negative
Riya,Clean Ganga Mission,The Clean Ganga Mission is good but should include rural areas more effectively.,suggestion
Alok,Digital India Policy,Add more awareness campaigns for the Digital India Policy so people understand it better.,suggestion
Akash,Smart Cities Mission,"Really happy with the Smart Cities Mission, it's very progressive.",positive
Deepak,Startup India Initiative,"Really happy with the Startup India Initiative, it's very progressive.",positive
Aditya,Smart Cities Mission,"Not satisfied with the Smart Cities Mission, it doesn’t solve ground-level problems.",negative
Akash,Clean Ganga Mission,This Clean Ganga Mission seems more like a political stunt than a real solution.,negative
Sneha,Startup India Initiative,This Startup India Initiative lacks proper planning and execution.,negative
Aditya,Education Reform Bill,"A much needed Education Reform Bill, thank you for implementing this.",positive
Vihaan,Environmental Protection Act,"Really happy with the Environmental Protection Act, it's very progressive.",positive
Rohan,Education Reform Bill,"I really support the Education Reform Bill, it's a great step for our nation.",positive
Ramesh,Environmental Protection Act,The Environmental Protection Act is good but should include rural areas more effectively.,suggestion
Ishita,Healthcare Access Policy,Please add more transparency to the Healthcare Access Policy for better trust.,suggestion
Sneha,Healthcare Access Policy,This Healthcare Access Policy seems more like a political stunt than a real solution.,negative
Suresh,Digital India Policy,This Digital India Policy seems more like a political stunt than a real solution.,negative
Meera,Digital India Policy,This Digital India Policy seems more like a political stunt than a real solution.,negative
Neha,Clean Ganga Mission,"The Clean Ganga Mission is very beneficial for common people, excellent move.",positive
Ananya,National Agriculture Policy,Add more awareness campaigns for the National Agriculture Policy so people understand it better.,suggestion
Geeta,Clean Ganga Mission,"The Clean Ganga Mission is very beneficial for common people, excellent move.",positive
Rajesh,Cybersecurity Framework,Please add more transparency to the Cybersecurity Framework for better trust.,suggestion
Geeta,Clean Ganga Mission,The Clean Ganga Mission is good but should include rural areas more effectively.,suggestion
Rekha,Smart Cities Mission,"Really happy with the Smart Cities Mission, it's very progressive.",positive
Rekha,National Agriculture Policy,This National Agriculture Policy seems more like a political stunt than a real solution.,negative
Sai,Healthcare Access Policy,This Healthcare Access Policy seems more like a political stunt than a real solution.,negative
Manoj,Healthcare Access Policy,"The Healthcare Access Policy is very beneficial for common people, excellent move.",positive
Meera,Smart Cities Mission,"A much needed Smart Cities Mission, thank you for implementing this.",positive
Amit,Smart Cities Mission,"The Smart Cities Mission is too complicated, common people won’t benefit much.",negative
Sneha,National Agriculture Policy,This National Agriculture Policy seems more like a political stunt than a real solution.,negative
Jyoti,Digital India Policy,"I don’t think the Digital India Policy is practical, it will face many issues.",negative
Riya,National Agriculture Policy,The National Agriculture Policy should focus more on youth involvement.,suggestion
Pooja,Education Reform Bill,"Really happy with the Education Reform Bill, it's very progressive.",positive
Vivaan,National Agriculture Policy,"The National Agriculture Policy is very beneficial for common people, excellent move.",positive
Suresh,Healthcare Access Policy,The Healthcare Access Policy is good but should include rural areas more effectively.,suggestion
Akash,Environmental Protection Act,"Really happy with the Environmental Protection Act, it's very progressive.",positive
Mohit,National Agriculture Policy,"This National Agriculture Policy will bring positive changes, proud of this initiative.",positive
Geeta,Smart Cities Mission,This Smart Cities Mission seems more like a political stunt than a real solution.,negative
Vihaan,Women Empowerment Policy,"The Women Empowerment Policy is very beneficial for common people, excellent move.",positive
Rekha,Cybersecurity Framework,"Not satisfied with the Cybersecurity Framework, it doesn’t solve ground-level problems.",negative
Aarav,Smart Cities Mission,"I don’t think the Smart Cities Mission is practical, it will face many issues.",negative
Harshit,Clean Ganga Mission,"The Clean Ganga Mission is very beneficial for common people, excellent move.",positive
Vivaan,Clean Ganga Mission,"A much needed Clean Ganga Mission, thank you for implementing this.",positive
Deepak,Startup India Initiative,Consider reducing bureaucracy delays under the Startup India Initiative.,suggestion
Siddharth,Startup India Initiative,This Startup India Initiative seems more like a political stunt than a real solution.,negative
Jyoti,Clean Ganga Mission,This Clean Ganga Mission lacks proper planning and execution.,negative
Sunita,Education Reform Bill,"Really happy with the Education Reform Bill, it's very progressive.",positive
Aarav,Digital India Policy,"I don’t think the Digital India Policy is practical, it will face many issues.",negative
Ramesh,Startup India Initiative,Add more awareness campaigns for the Startup India Initiative so people understand it better.,suggestion
Vikram,Cybersecurity Framework,Please add more transparency to the Cybersecurity Framework for better trust.,suggestion
Ishita,Smart Cities Mission,"Not satisfied with the Smart Cities Mission, it doesn’t solve ground-level problems.",negative
Pooja,National Agriculture Policy,"The National Agriculture Policy is too complicated, common people won’t benefit much.",negative
Sai,National Agriculture Policy,The National Agriculture Policy should focus more on youth involvement.,suggestion
Manoj,Education Reform Bill,"The Education Reform Bill is too complicated, common people won’t benefit much.",negative
Aditya,Startup India Initiative,This Startup India Initiative lacks proper planning and execution.,negative
Ramesh,Environmental Protection Act,This Environmental Protection Act lacks proper planning and execution.,negative
Manoj,Digital India Policy,This Digital India Policy lacks proper planning and execution.,negative
Vikram,Education Reform Bill,"This Education Reform Bill will bring positive changes, proud of this initiative.",positive
Jyoti,Clean Ganga Mission,"I really support the Clean Ganga Mission, it's a great step for our nation.",positive
Krishna,Healthcare Access Policy,This Healthcare Access Policy lacks proper planning and execution.,negative
Aditya,Women Empowerment Policy,Please add more transparency to the Women Empowerment Policy for better trust.,suggestion
Sai,Smart Cities Mission,Consider reducing bureaucracy delays under the Smart Cities Mission.,suggestion
Siddharth,Digital India Policy,"I don’t think the Digital India Policy is practical, it will face many issues.",negative
Ishita,Healthcare Access Policy,Consider reducing bureaucracy delays under the Healthcare Access Policy.,suggestion
Ishita,Clean Ganga Mission,This Clean Ganga Mission seems more like a political stunt than a real solution.,negative
Ishaan,Smart Cities Mission,The Smart Cities Mission is good but should include rural areas more effectively.,suggestion
Sneha,Smart Cities Mission,"A much needed Smart Cities Mission, thank you for implementing this.",positive
Vikram,Cybersecurity Framework,Please add more transparency to the Cybersecurity Framework for better trust.,suggestion
Diya,Cybersecurity Framework,This Cybersecurity Framework seems more like a political stunt than a real solution.,negative
Vikram,Startup India Initiative,The Startup India Initiative should focus more on youth involvement.,suggestion
Nikhil,Clean Ganga Mission,Please add more transparency to the Clean Ganga Mission for better trust.,suggestion
Rajesh,Education Reform Bill,Consider reducing bureaucracy delays under the Education Reform Bill.,suggestion
Arjun,Startup India Initiative,Consider reducing bureaucracy delays under the Startup India Initiative.,suggestion
Diya,Women Empowerment Policy,This Women Empowerment Policy seems more like a political stunt than a real solution.,negative
Mohit,Clean Ganga Mission,"The Clean Ganga Mission is very beneficial for common people, excellent move.",positive
Sneha,Environmental Protection Act,Please add more transparency to the Environmental Protection Act for better trust.,suggestion
Suresh,Digital India Policy,"The Digital India Policy is too complicated, common people won’t benefit much.",negative
Arjun,Digital India Policy,This Digital India Policy lacks proper planning and execution.,negative
Aditya,National Agriculture Policy,The National Agriculture Policy is good but should include rural areas more effectively.,suggestion
Diya,Clean Ganga Mission,"A much needed Clean Ganga Mission, thank you for implementing this.",positive
Krishna,National Agriculture Policy,The National Agriculture Policy should focus more on youth involvement.,suggestion
Jyoti,Digital India Policy,"I really support the Digital India Policy, it's a great step for our nation.",positive
Kunal,Startup India Initiative,This Startup India Initiative lacks proper planning and execution.,negative
Vivaan,Education Reform Bill,Please add more transparency to the Education Reform Bill for better trust.,suggestion
Jyoti,Healthcare Access Policy,Please add more transparency to the Healthcare Access Policy for better trust.,suggestion
Rohan,Environmental Protection Act,Add more awareness campaigns for the Environmental Protection Act so people understand it better.,suggestion
Arjun,Healthcare Access Policy,Consider reducing bureaucracy delays under the Healthcare Access Policy.,suggestion
Nikhil,Women Empowerment Policy,"I really support the Women Empowerment Policy, it's a great step for our nation.",positive
Manoj,Cybersecurity Framework,"A much needed Cybersecurity Framework, thank you for implementing this.",positive
Harshit,Cybersecurity Framework,Add more awareness campaigns for the Cybersecurity Framework so people understand it better.,suggestion
Sai,National Agriculture Policy,Add more awareness campaigns for the National Agriculture Policy so people understand it better.,suggestion
Sai,Women Empowerment Policy,"I really support the Women Empowerment Policy, it's a great step for our nation.",positive
Pooja,Healthcare Access Policy,The Healthcare Access Policy should focus more on youth involvement.,suggestion
Siddharth,National Agriculture Policy,"A much needed National Agriculture Policy, thank you for implementing this.",positive
Lakshmi,Women Empowerment Policy,Consider reducing bureaucracy delays under the Women Empowerment Policy.,suggestion
Aarav,Startup India Initiative,"A much needed Startup India Initiative, thank you for implementing this.",positive
Vihaan,Healthcare Access Policy,"I really support the Healthcare Access Policy, it's a great step for our nation.",positive
Rajesh,National Agriculture Policy,Consider reducing bureaucracy delays under the National Agriculture Policy.,suggestion
Aditya,Clean Ganga Mission,Add more awareness campaigns for the Clean Ganga Mission so people understand it better.,suggestion
Vivaan,Environmental Protection Act,"The Environmental Protection Act is very beneficial for common people, excellent move.",positive
Sanya,Environmental Protection Act,The Environmental Protection Act should focus more on youth involvement.,suggestion
