Name,Policy,Comment,Type,State,City
Aditya,Transport Safety Policy,Not sure if this will help in real situations.,negative,Tamil Nadu,Coimbatore
Aarav,Digital Privacy Act,"This will bring positive changes, I support it fully.",positive,Gujarat,Ahmedabad
Kabir,Environmental Protection Act,"This will bring positive changes, I support it fully.",positive,West Bengal,Kolkata
Diya,Education Reform Policy,Too early to judge its effectiveness.,neutral,West Bengal,Howrah
Ananya,Cybersecurity Protection Policy,This step is crucial for a better future.,positive,Rajasthan,Jodhpur
Sanya,Environmental Protection Act,"This will bring positive changes, I support it fully.",positive,Uttar Pradesh,Lucknow
Diya,Education Reform Policy,This seems more like a political stunt than a real solution.,negative,Kerala,Kozhikode
Harshit,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,Delhi,New Delhi
Sanya,Renewable Energy Adoption Policy,The implementation will likely fail like before.,negative,Gujarat,Surat
Meera,Agriculture Sustainability Act,This is just another headline without substance.,negative,Maharashtra,Mumbai
Sanya,Environmental Protection Act,Neither good nor bad at this stage.,neutral,Maharashtra,Nagpur
Meera,Digital Privacy Act,Mixed feelings about this policy.,neutral,Maharashtra,Nagpur
Rohan,Cybersecurity Protection Policy,"This will bring positive changes, I support it fully.",positive,Tamil Nadu,Madurai
Diya,Education Reform Policy,Let's see how this works in practice.,neutral,Gujarat,Vadodara
Rohan,Environmental Protection Act,Let's see how this works in practice.,neutral,Gujarat,Vadodara
Meera,Environmental Protection Act,This seems more like a political stunt than a real solution.,negative,Karnataka,Bengaluru
Sanya,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,Punjab,Chandigarh
Isha,Healthcare Access Policy,Happy to see this reform being implemented.,positive,Gujarat,Vadodara
Isha,Digital Privacy Act,"The idea is good, execution will matter.",neutral,Tamil Nadu,Coimbatore
Rohan,Transport Safety Policy,This seems more like a political stunt than a real solution.,negative,Kerala,Kozhikode
Meera,Digital Privacy Act,Let's see how this works in practice.,neutral,West Bengal,Siliguri
Ananya,Digital Privacy Act,The implementation will likely fail like before.,negative,West Bengal,Siliguri
Rohan,Agriculture Sustainability Act,Mixed feelings about this policy.,neutral,Karnataka,Mangalore
Isha,Digital Privacy Act,Not sure if this will help in real situations.,negative,Karnataka,Mangalore
Rohan,Education Reform Policy,Too early to judge its effectiveness.,neutral,Tamil Nadu,Chennai
Aditya,Workplace Equality Policy,This initiative will improve lives and create opportunities.,positive,Kerala,Kozhikode
Diya,Healthcare Access Policy,A waste of resources and poorly planned.,negative,Delhi,New Delhi
Rohan,Transport Safety Policy,Happy to see this reform being implemented.,positive,Delhi,New Delhi
Aditya,Housing Development Scheme,Not sure if this will help in real situations.,negative,Karnataka,Mangalore
Meera,Digital Privacy Act,A waste of resources and poorly planned.,negative,Rajasthan,Jodhpur
Aarav,Renewable Energy Adoption Policy,Too early to judge its effectiveness.,neutral,West Bengal,Howrah
Diya,Healthcare Access Policy,This seems more like a political stunt than a real solution.,negative,Gujarat,Vadodara
Meera,Digital Privacy Act,Not sure if this will help in real situations.,negative,West Bengal,Siliguri
Isha,Environmental Protection Act,"A very thoughtful policy, proud of this government.",positive,West Bengal,Kolkata
Aditya,Cybersecurity Protection Policy,"This will bring positive changes, I support it fully.",positive,West Bengal,Howrah
Ananya,Education Reform Policy,"The idea is good, execution will matter.",neutral,Delhi,New Delhi
Aditya,Cybersecurity Protection Policy,Neither good nor bad at this stage.,neutral,Karnataka,Bengaluru
Meera,Cybersecurity Protection Policy,"This will bring positive changes, I support it fully.",positive,Maharashtra,Mumbai
Harshit,Environmental Protection Act,The implementation will likely fail like before.,negative,Tamil Nadu,Coimbatore
Aditya,Environmental Protection Act,"This will bring positive changes, I support it fully.",positive,Gujarat,Surat
Aditya,Digital Privacy Act,The implementation will likely fail like before.,negative,Rajasthan,Jaipur
Isha,Education Reform Policy,"This will bring positive changes, I support it fully.",positive,Karnataka,Bengaluru
Diya,Transport Safety Policy,"A very thoughtful policy, proud of this government.",positive,Rajasthan,Jodhpur
Diya,Education Reform Policy,"This will bring positive changes, I support it fully.",positive,Tamil Nadu,Chennai
Ananya,Healthcare Access Policy,This initiative will improve lives and create opportunities.,positive,Gujarat,Ahmedabad
Harshit,Digital Privacy Act,"The idea is good, execution will matter.",neutral,Punjab,Ludhiana
Kabir,Housing Development Scheme,Too early to judge its effectiveness.,neutral,Tamil Nadu,Chennai
Meera,Workplace Equality Policy,The implementation will likely fail like before.,negative,Punjab,Ludhiana
Harshit,Education Reform Policy,This is just another headline without substance.,negative,Gujarat,Ahmedabad
Isha,Cybersecurity Protection Policy,Not sure if this will help in real situations.,negative,Tamil Nadu,Chennai
Harshit,Agriculture Sustainability Act,"The idea is good, execution will matter.",neutral,West Bengal,Kolkata
Meera,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,Rajasthan,Jodhpur
Diya,Renewable Energy Adoption Policy,Too early to judge its effectiveness.,neutral,Rajasthan,Jodhpur
Harshit,Agriculture Sustainability Act,This is just another headline without substance.,negative,Rajasthan,Jaipur
Sanya,Education Reform Policy,This is just another headline without substance.,negative,Delhi,New Delhi
Meera,Agriculture Sustainability Act,Mixed feelings about this policy.,neutral,Punjab,Ludhiana
Kabir,Healthcare Access Policy,This seems more like a political stunt than a real solution.,negative,Kerala,Kochi
Meera,Digital Privacy Act,"This will bring positive changes, I support it fully.",positive,Uttar Pradesh,Kanpur
Aarav,Housing Development Scheme,Let's see how this works in practice.,neutral,West Bengal,Kolkata
Meera,Agriculture Sustainability Act,Too early to judge its effectiveness.,neutral,Kerala,Kozhikode
Diya,Housing Development Scheme,This step is crucial for a better future.,positive,West Bengal,Siliguri
Harshit,Agriculture Sustainability Act,Too early to judge its effectiveness.,neutral,Gujarat,Surat
Diya,Housing Development Scheme,Happy to see this reform being implemented.,positive,Tamil Nadu,Coimbatore
Rohan,Transport Safety Policy,Mixed feelings about this policy.,neutral,Kerala,Thiruvananthapuram
Aditya,Healthcare Access Policy,"A very thoughtful policy, proud of this government.",positive,Punjab,Amritsar
Harshit,Transport Safety Policy,This is just another headline without substance.,negative,Kerala,Kozhikode
Rohan,Digital Privacy Act,Too early to judge its effectiveness.,neutral,Punjab,Chandigarh
Isha,Healthcare Access Policy,Not sure if this will help in real situations.,negative,Maharashtra,Pune
Rohan,Education Reform Policy,This initiative will improve lives and create opportunities.,positive,Rajasthan,Jodhpur
Meera,Housing Development Scheme,Not sure if this will help in real situations.,negative,Maharashtra,Pune
Aditya,Agriculture Sustainability Act,"A very thoughtful policy, proud of this government.",positive,Kerala,Thiruvananthapuram
Ananya,Healthcare Access Policy,Let's see how this works in practice.,neutral,Punjab,Ludhiana
Meera,Environmental Protection Act,"The idea is good, execution will matter.",neutral,Delhi,New Delhi
Isha,Digital Privacy Act,Too early to judge its effectiveness.,neutral,Kerala,Kochi
Aarav,Housing Development Scheme,Let's see how this works in practice.,neutral,Tamil Nadu,Coimbatore
Aditya,Workplace Equality Policy,A waste of resources and poorly planned.,negative,Tamil Nadu,Chennai
Meera,Cybersecurity Protection Policy,"The idea is good, execution will matter.",neutral,Rajasthan,Jodhpur
Meera,Agriculture Sustainability Act,"The idea is good, execution will matter.",neutral,Rajasthan,Jodhpur
Meera,Transport Safety Policy,Not sure if this will help in real situations.,negative,West Bengal,Kolkata
Harshit,Agriculture Sustainability Act,The implementation will likely fail like before.,negative,Gujarat,Surat
Sanya,Housing Development Scheme,"The idea is good, execution will matter.",neutral,Punjab,Ludhiana
Aarav,Housing Development Scheme,Neither good nor bad at this stage.,neutral,Punjab,Amritsar
Sanya,Healthcare Access Policy,The implementation will likely fail like before.,negative,Rajasthan,Jodhpur
Isha,Healthcare Access Policy,Happy to see this reform being implemented.,positive,Maharashtra,Mumbai
Ananya,Workplace Equality Policy,Mixed feelings about this policy.,neutral,Uttar Pradesh,Lucknow
Sanya,Environmental Protection Act,The implementation will likely fail like before.,negative,Maharashtra,Pune
Kabir,Education Reform Policy,"The idea is good, execution will matter.",neutral,Karnataka,Mangalore
Kabir,Transport Safety Policy,The implementation will likely fail like before.,negative,Rajasthan,Jodhpur
Rohan,Cybersecurity Protection Policy,Not sure if this will help in real situations.,negative,Delhi,New Delhi
Rohan,Healthcare Access Policy,Not sure if this will help in real situations.,negative,Tamil Nadu,Coimbatore
Aditya,Workplace Equality Policy,Happy to see this reform being implemented.,positive,Gujarat,Vadodara
Diya,Cybersecurity Protection Policy,Not sure if this will help in real situations.,negative,Uttar Pradesh,Varanasi
Aarav,Transport Safety Policy,This initiative will improve lives and create opportunities.,positive,West Bengal,Howrah
Harshit,Transport Safety Policy,This step is crucial for a better future.,positive,Gujarat,Surat
Harshit,Housing Development Scheme,The implementation will likely fail like before.,negative,Gujarat,Surat
Diya,Digital Privacy Act,Let's see how this works in practice.,neutral,Delhi,New Delhi
Harshit,Transport Safety Policy,"This will bring positive changes, I support it fully.",positive,Kerala,Kochi
Aditya,Agriculture Sustainability Act,"This will bring positive changes, I support it fully.",positive,Uttar Pradesh,Varanasi
Sanya,Agriculture Sustainability Act,Let's see how this works in practice.,neutral,Punjab,Chandigarh
Diya,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,Delhi,New Delhi
Aarav,Cybersecurity Protection Policy,This initiative will improve lives and create opportunities.,positive,Karnataka,Bengaluru
Harshit,Renewable Energy Adoption Policy,The implementation will likely fail like before.,negative,Kerala,Thiruvananthapuram
Kabir,Transport Safety Policy,Mixed feelings about this policy.,neutral,Tamil Nadu,Chennai
Aarav,Housing Development Scheme,"The idea is good, execution will matter.",neutral,Delhi,New Delhi
Isha,Cybersecurity Protection Policy,This is just another headline without substance.,negative,Delhi,New Delhi
Ananya,Renewable Energy Adoption Policy,Not sure if this will help in real situations.,negative,Karnataka,Mysuru
Diya,Education Reform Policy,Neither good nor bad at this stage.,neutral,Maharashtra,Nagpur
Meera,Agriculture Sustainability Act,The implementation will likely fail like before.,negative,Gujarat,Vadodara
Harshit,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,Karnataka,Bengaluru
Aditya,Workplace Equality Policy,The implementation will likely fail like before.,negative,Gujarat,Surat
Sanya,Workplace Equality Policy,A waste of resources and poorly planned.,negative,Kerala,Kochi
Harshit,Healthcare Access Policy,Neither good nor bad at this stage.,neutral,Uttar Pradesh,Lucknow
Kabir,Workplace Equality Policy,Let's see how this works in practice.,neutral,Rajasthan,Udaipur
Diya,Education Reform Policy,Mixed feelings about this policy.,neutral,Gujarat,Surat
Harshit,Housing Development Scheme,This is just another headline without substance.,negative,Kerala,Kozhikode
Diya,Environmental Protection Act,Not sure if this will help in real situations.,negative,Uttar Pradesh,Lucknow
Isha,Digital Privacy Act,This initiative will improve lives and create opportunities.,positive,West Bengal,Siliguri
Ananya,Healthcare Access Policy,"A very thoughtful policy, proud of this government.",positive,Uttar Pradesh,Varanasi
Isha,Workplace Equality Policy,Too early to judge its effectiveness.,neutral,Punjab,Ludhiana
Kabir,Transport Safety Policy,This step is crucial for a better future.,positive,Karnataka,Bengaluru
Harshit,Renewable Energy Adoption Policy,This initiative will improve lives and create opportunities.,positive,Maharashtra,Mumbai
Meera,Workplace Equality Policy,"A very thoughtful policy, proud of this government.",positive,Kerala,Thiruvananthapuram
Meera,Housing Development Scheme,This seems more like a political stunt than a real solution.,negative,Tamil Nadu,Madurai
Ananya,Environmental Protection Act,"A very thoughtful policy, proud of this government.",positive,Uttar Pradesh,Lucknow
Rohan,Renewable Energy Adoption Policy,A waste of resources and poorly planned.,negative,Uttar Pradesh,Lucknow
Aarav,Renewable Energy Adoption Policy,The implementation will likely fail like before.,negative,Gujarat,Ahmedabad
Rohan,Environmental Protection Act,Too early to judge its effectiveness.,neutral,Punjab,Ludhiana
Aditya,Environmental Protection Act,Happy to see this reform being implemented.,positive,Tamil Nadu,Chennai
Kabir,Workplace Equality Policy,Neither good nor bad at this stage.,neutral,Delhi,New Delhi
Diya,Renewable Energy Adoption Policy,This is just another headline without substance.,negative,Kerala,Kozhikode
Aarav,Workplace Equality Policy,"This will bring positive changes, I support it fully.",positive,Punjab,Chandigarh
Sanya,Housing Development Scheme,Let's see how this works in practice.,neutral,Gujarat,Ahmedabad
Ananya,Housing Development Scheme,Not sure if this will help in real situations.,negative,Kerala,Kochi
Sanya,Housing Development Scheme,The implementation will likely fail like before.,negative,Punjab,Amritsar
Harshit,Housing Development Scheme,Too early to judge its effectiveness.,neutral,Uttar Pradesh,Varanasi
Rohan,Cybersecurity Protection Policy,Happy to see this reform being implemented.,positive,Delhi,New Delhi
Meera,Healthcare Access Policy,Mixed feelings about this policy.,neutral,Rajasthan,Udaipur
Aditya,Digital Privacy Act,Let's see how this works in practice.,neutral,Delhi,New Delhi
Meera,Transport Safety Policy,"The idea is good, execution will matter.",neutral,Delhi,New Delhi
Aditya,Healthcare Access Policy,Neither good nor bad at this stage.,neutral,Kerala,Kozhikode
Meera,Environmental Protection Act,This step is crucial for a better future.,positive,Gujarat,Surat
Kabir,Workplace Equality Policy,Let's see how this works in practice.,neutral,Rajasthan,Jodhpur
Ananya,Agriculture Sustainability Act,The implementation will likely fail like before.,negative,Karnataka,Bengaluru
Aarav,Environmental Protection Act,Let's see how this works in practice.,neutral,Gujarat,Vadodara
Aditya,Digital Privacy Act,This is just another headline without substance.,negative,Delhi,New Delhi
Harshit,Renewable Energy Adoption Policy,This initiative will improve lives and create opportunities.,positive,West Bengal,Kolkata
Harshit,Healthcare Access Policy,Too early to judge its effectiveness.,neutral,Gujarat,Vadodara
Aditya,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,Karnataka,Mysuru
Kabir,Education Reform Policy,Too early to judge its effectiveness.,neutral,Maharashtra,Mumbai
Meera,Digital Privacy Act,This is just another headline without substance.,negative,Delhi,New Delhi
Kabir,Healthcare Access Policy,Neither good nor bad at this stage.,neutral,West Bengal,Kolkata
Aditya,Transport Safety Policy,"The idea is good, execution will matter.",neutral,Tamil Nadu,Chennai
Aditya,Workplace Equality Policy,This step is crucial for a better future.,positive,Kerala,Kochi
Sanya,Healthcare Access Policy,This step is crucial for a better future.,positive,Delhi,New Delhi
Diya,Cybersecurity Protection Policy,This step is crucial for a better future.,positive,Gujarat,Surat
Sanya,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,Kerala,Thiruvananthapuram
Aditya,Digital Privacy Act,Too early to judge its effectiveness.,neutral,Kerala,Thiruvananthapuram
Aditya,Education Reform Policy,Happy to see this reform being implemented.,positive,Delhi,New Delhi
Diya,Renewable Energy Adoption Policy,Not sure if this will help in real situations.,negative,West Bengal,Siliguri
Rohan,Digital Privacy Act,Too early to judge its effectiveness.,neutral,Tamil Nadu,Coimbatore
Isha,Workplace Equality Policy,The implementation will likely fail like before.,negative,West Bengal,Howrah
Kabir,Agriculture Sustainability Act,This step is crucial for a better future.,positive,West Bengal,Siliguri
Sanya,Transport Safety Policy,"A very thoughtful policy, proud of this government.",positive,Uttar Pradesh,Lucknow
Meera,Digital Privacy Act,This step is crucial for a better future.,positive,Kerala,Thiruvananthapuram
Aditya,Environmental Protection Act,"This will bring positive changes, I support it fully.",positive,Tamil Nadu,Madurai
Rohan,Housing Development Scheme,Neither good nor bad at this stage.,neutral,Punjab,Chandigarh
Rohan,Agriculture Sustainability Act,"This will bring positive changes, I support it fully.",positive,West Bengal,Kolkata
Diya,Transport Safety Policy,"This will bring positive changes, I support it fully.",positive,Tamil Nadu,Chennai
Sanya,Renewable Energy Adoption Policy,Not sure if this will help in real situations.,negative,Kerala,Kozhikode
Aditya,Environmental Protection Act,Let's see how this works in practice.,neutral,West Bengal,Kolkata
Sanya,Transport Safety Policy,Let's see how this works in practice.,neutral,Kerala,Thiruvananthapuram
Harshit,Renewable Energy Adoption Policy,A waste of resources and poorly planned.,negative,Punjab,Amritsar
Kabir,Agriculture Sustainability Act,The implementation will likely fail like before.,negative,Uttar Pradesh,Kanpur
Aarav,Education Reform Policy,"A very thoughtful policy, proud of this government.",positive,Gujarat,Vadodara
Aditya,Renewable Energy Adoption Policy,"This will bring positive changes, I support it fully.",positive,West Bengal,Howrah
Aditya,Education Reform Policy,This is just another headline without substance.,negative,Tamil Nadu,Coimbatore
Aditya,Renewable Energy Adoption Policy,Not sure if this will help in real situations.,negative,Karnataka,Bengaluru
Harshit,Agriculture Sustainability Act,This step is crucial for a better future.,positive,Tamil Nadu,Chennai
Kabir,Environmental Protection Act,This initiative will improve lives and create opportunities.,positive,Punjab,Chandigarh
Ananya,Renewable Energy Adoption Policy,This initiative will improve lives and create opportunities.,positive,Gujarat,Surat
Meera,Environmental Protection Act,Not sure if this will help in real situations.,negative,Kerala,Thiruvananthapuram
Kabir,Workplace Equality Policy,Too early to judge its effectiveness.,neutral,Tamil Nadu,Madurai
Ananya,Workplace Equality Policy,This initiative will improve lives and create opportunities.,positive,Rajasthan,Jodhpur
Aarav,Education Reform Policy,This is just another headline without substance.,negative,Maharashtra,Pune
Diya,Cybersecurity Protection Policy,"This will bring positive changes, I support it fully.",positive,Gujarat,Ahmedabad
Harshit,Healthcare Access Policy,Not sure if this will help in real situations.,negative,Rajasthan,Jodhpur
Sanya,Healthcare Access Policy,"This will bring positive changes, I support it fully.",positive,Kerala,Kozhikode
Meera,Transport Safety Policy,Mixed feelings about this policy.,neutral,Tamil Nadu,Coimbatore
Rohan,Digital Privacy Act,The implementation will likely fail like before.,negative,Gujarat,Ahmedabad
Aarav,Environmental Protection Act,"A very thoughtful policy, proud of this government.",positive,Delhi,New Delhi
Rohan,Renewable Energy Adoption Policy,"The idea is good, execution will matter.",neutral,Delhi,New Delhi
Ananya,Environmental Protection Act,The implementation will likely fail like before.,negative,Punjab,Ludhiana
Rohan,Agriculture Sustainability Act,Mixed feelings about this policy.,neutral,Karnataka,Mysuru
Diya,Environmental Protection Act,This seems more like a political stunt than a real solution.,negative,Delhi,New Delhi
Rohan,Transport Safety Policy,"This will bring positive changes, I support it fully.",positive,Karnataka,Mangalore
Harshit,Environmental Protection Act,Not sure if this will help in real situations.,negative,Kerala,Thiruvananthapuram
Aarav,Renewable Energy Adoption Policy,Happy to see this reform being implemented.,positive,Gujarat,Ahmedabad
Isha,Education Reform Policy,Let's see how this works in practice.,neutral,Kerala,Kozhikode
Harshit,Cybersecurity Protection Policy,The implementation will likely fail like before.,negative,West Bengal,Howrah
Sanya,Digital Privacy Act,Mixed feelings about this policy.,neutral,Gujarat,Vadodara
Isha,Education Reform Policy,Too early to judge its effectiveness.,neutral,Punjab,Chandigarh
Meera,Housing Development Scheme,Not sure if this will help in real situations.,negative,Uttar Pradesh,Varanasi
Rohan,Environmental Protection Act,A waste of resources and poorly planned.,negative,Gujarat,Surat
Aarav,Cybersecurity Protection Policy,This seems more like a political stunt than a real solution.,negative,West Bengal,Siliguri
Rohan,Healthcare Access Policy,This step is crucial for a better future.,positive,Maharashtra,Mumbai
Isha,Healthcare Access Policy,"The idea is good, execution will matter.",neutral,Karnataka,Bengaluru
Harshit,Healthcare Access Policy,Neither good nor bad at this stage.,neutral,Delhi,New Delhi
Isha,Agriculture Sustainability Act,Too early to judge its effectiveness.,neutral,West Bengal,Siliguri
Meera,Healthcare Access Policy,The implementation will likely fail like before.,negative,Maharashtra,Pune
Kabir,Digital Privacy Act,This step is crucial for a better future.,positive,Punjab,Chandigarh
Rohan,Healthcare Access Policy,Mixed feelings about this policy.,neutral,West Bengal,Siliguri
Diya,Transport Safety Policy,This seems more like a political stunt than a real solution.,negative,Punjab,Chandigarh
Kabir,Agriculture Sustainability Act,This initiative will improve lives and create opportunities.,positive,Rajasthan,Udaipur
Rohan,Workplace Equality Policy,Too early to judge its effectiveness.,neutral,Gujarat,Surat
Meera,Education Reform Policy,Let's see how this works in practice.,neutral,Maharashtra,Mumbai
Rohan,Environmental Protection Act,Let's see how this works in practice.,neutral,West Bengal,Howrah
Aarav,Healthcare Access Policy,A waste of resources and poorly planned.,negative,Rajasthan,Jaipur
Sanya,Digital Privacy Act,This seems more like a political stunt than a real solution.,negative,West Bengal,Siliguri
Diya,Education Reform Policy,A waste of resources and poorly planned.,negative,Rajasthan,Jaipur
Aarav,Housing Development Scheme,This initiative will improve lives and create opportunities.,positive,Tamil Nadu,Coimbatore
Aarav,Renewable Energy Adoption Policy,This seems more like a political stunt than a real solution.,negative,Kerala,Kochi
Meera,Transport Safety Policy,"A very thoughtful policy, proud of this government.",positive,Punjab,Chandigarh
Meera,Housing Development Scheme,Let's see how this works in practice.,neutral,Delhi,New Delhi
Meera,Transport Safety Policy,"This will bring positive changes, I support it fully.",positive,Tamil Nadu,Chennai
Aditya,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,Gujarat,Surat
Sanya,Digital Privacy Act,Let's see how this works in practice.,neutral,Delhi,New Delhi
Aditya,Housing Development Scheme,"This will bring positive changes, I support it fully.",positive,West Bengal,Kolkata
Isha,Transport Safety Policy,This seems more like a political stunt than a real solution.,negative,Gujarat,Vadodara
Ananya,Workplace Equality Policy,This initiative will improve lives and create opportunities.,positive,Karnataka,Mysuru
Ananya,Housing Development Scheme,Let's see how this works in practice.,neutral,Delhi,New Delhi
Diya,Healthcare Access Policy,Happy to see this reform being implemented.,positive,Uttar Pradesh,Lucknow
Meera,Healthcare Access Policy,Mixed feelings about this policy.,neutral,Punjab,Ludhiana
Sanya,Education Reform Policy,This seems more like a political stunt than a real solution.,negative,Tamil Nadu,Coimbatore
Isha,Environmental Protection Act,This is just another headline without substance.,negative,Gujarat,Vadodara
Sanya,Healthcare Access Policy,Mixed feelings about this policy.,neutral,Maharashtra,Pune
Aarav,Healthcare Access Policy,Let's see how this works in practice.,neutral,West Bengal,Howrah
Aditya,Education Reform Policy,Let's see how this works in practice.,neutral,Punjab,Amritsar
Sanya,Cybersecurity Protection Policy,This step is crucial for a better future.,positive,Kerala,Kozhikode
Diya,Agriculture Sustainability Act,Let's see how this works in practice.,neutral,Delhi,New Delhi
Kabir,Environmental Protection Act,The implementation will likely fail like before.,negative,Maharashtra,Nagpur
Meera,Education Reform Policy,Neither good nor bad at this stage.,neutral,Rajasthan,Udaipur
Sanya,Transport Safety Policy,The implementation will likely fail like before.,negative,Tamil Nadu,Madurai
Kabir,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,West Bengal,Kolkata
Sanya,Workplace Equality Policy,This is just another headline without substance.,negative,Karnataka,Mysuru
Kabir,Environmental Protection Act,Let's see how this works in practice.,neutral,Tamil Nadu,Coimbatore
Sanya,Agriculture Sustainability Act,Happy to see this reform being implemented.,positive,West Bengal,Howrah
Rohan,Cybersecurity Protection Policy,A waste of resources and poorly planned.,negative,Uttar Pradesh,Lucknow
Ananya,Digital Privacy Act,Mixed feelings about this policy.,neutral,Gujarat,Ahmedabad
Kabir,Cybersecurity Protection Policy,Let's see how this works in practice.,neutral,Punjab,Amritsar
Aarav,Transport Safety Policy,This initiative will improve lives and create opportunities.,positive,Maharashtra,Nagpur
Diya,Education Reform Policy,The implementation will likely fail like before.,negative,Delhi,New Delhi
Harshit,Healthcare Access Policy,This seems more like a political stunt than a real solution.,negative,Karnataka,Bengaluru
Diya,Digital Privacy Act,Let's see how this works in practice.,neutral,Uttar Pradesh,Varanasi
Aditya,Renewable Energy Adoption Policy,Happy to see this reform being implemented.,positive,Maharashtra,Nagpur
Aarav,Transport Safety Policy,Neither good nor bad at this stage.,neutral,Rajasthan,Jaipur
Aarav,Housing Development Scheme,A waste of resources and poorly planned.,negative,Maharashtra,Pune
Harshit,Workplace Equality Policy,This seems more like a political stunt than a real solution.,negative,Karnataka,Bengaluru
Harshit,Housing Development Scheme,Mixed feelings about this policy.,neutral,Rajasthan,Jaipur
Diya,Housing Development Scheme,"A very thoughtful policy, proud of this government.",positive,Punjab,Ludhiana
Harshit,Agriculture Sustainability Act,Not sure if this will help in real situations.,negative,Kerala,Thiruvananthapuram
Aditya,Education Reform Policy,Neither good nor bad at this stage.,neutral,Kerala,Kozhikode
Isha,Agriculture Sustainability Act,Mixed feelings about this policy.,neutral,Tamil Nadu,Chennai
Aarav,Cybersecurity Protection Policy,A waste of resources and poorly planned.,negative,Tamil Nadu,Madurai
Isha,Workplace Equality Policy,Happy to see this reform being implemented.,positive,Maharashtra,Pune
Ananya,Digital Privacy Act,This step is crucial for a better future.,positive,Delhi,New Delhi
Diya,Environmental Protection Act,Let's see how this works in practice.,neutral,Tamil Nadu,Coimbatore
Kabir,Housing Development Scheme,Neither good nor bad at this stage.,neutral,Karnataka,Mysuru
Aarav,Cybersecurity Protection Policy,"This will bring positive changes, I support it fully.",positive,Maharashtra,Mumbai
Ananya,Renewable Energy Adoption Policy,"This will bring positive changes, I support it fully.",positive,Gujarat,Vadodara
Harshit,Agriculture Sustainability Act,Happy to see this reform being implemented.,positive,Uttar Pradesh,Lucknow
Sanya,Healthcare Access Policy,A waste of resources and poorly planned.,negative,Kerala,Kozhikode
Sanya,Agriculture Sustainability Act,This initiative will improve lives and create opportunities.,positive,Kerala,Kozhikode
Aarav,Environmental Protection Act,This seems more like a political stunt than a real solution.,negative,Tamil Nadu,Chennai
Sanya,Renewable Energy Adoption Policy,"This will bring positive changes, I support it fully.",positive,Punjab,Ludhiana
Kabir,Environmental Protection Act,This step is crucial for a better future.,positive,West Bengal,Siliguri
Aarav,Education Reform Policy,Mixed feelings about this policy.,neutral,Delhi,New Delhi
Diya,Environmental Protection Act,"The idea is good, execution will matter.",neutral,West Bengal,Howrah
Diya,Transport Safety Policy,"The idea is good, execution will matter.",neutral,Kerala,Kochi
Sanya,Environmental Protection Act,The implementation will likely fail like before.,negative,Maharashtra,Nagpur
Rohan,Renewable Energy Adoption Policy,This initiative will improve lives and create opportunities.,positive,Tamil Nadu,Chennai
Diya,Healthcare Access Policy,This step is crucial for a better future.,positive,Kerala,Thiruvananthapuram
Meera,Agriculture Sustainability Act,Let's see how this works in practice.,neutral,Rajasthan,Jaipur
Rohan,Agriculture Sustainability Act,Let's see how this works in practice.,neutral,Kerala,Kochi
Aarav,Agriculture Sustainability Act,"This will bring positive changes, I support it fully.",positive,Karnataka,Mysuru
Meera,Workplace Equality Policy,This initiative will improve lives and create opportunities.,positive,West Bengal,Siliguri
Sanya,Healthcare Access Policy,Let's see how this works in practice.,neutral,Delhi,New Delhi
Aarav,Agriculture Sustainability Act,"A very thoughtful policy, proud of this government.",positive,Delhi,New Delhi
Isha,Renewable Energy Adoption Policy,This step is crucial for a better future.,positive,Delhi,New Delhi
Diya,Environmental Protection Act,Too early to judge its effectiveness.,neutral,Kerala,Kochi
Kabir,Workplace Equality Policy,"The idea is good, execution will matter.",neutral,Gujarat,Ahmedabad
Ananya,Renewable Energy Adoption Policy,"A very thoughtful policy, proud of this government.",positive,Kerala,Kochi
Ananya,Environmental Protection Act,Not sure if this will help in real situations.,negative,Uttar Pradesh,Kanpur
Ananya,Renewable Energy Adoption Policy,"A very thoughtful policy, proud of this government.",positive,Kerala,Thiruvananthapuram
Kabir,Workplace Equality Policy,This seems more like a political stunt than a real solution.,negative,Punjab,Ludhiana
Meera,Transport Safety Policy,Too early to judge its effectiveness.,neutral,Rajasthan,Jaipur
Aditya,Education Reform Policy,A waste of resources and poorly planned.,negative,Rajasthan,Jodhpur
Ananya,Renewable Energy Adoption Policy,Too early to judge its effectiveness.,neutral,Delhi,New Delhi
Rohan,Renewable Energy Adoption Policy,Too early to judge its effectiveness.,neutral,Punjab,Amritsar
Meera,Transport Safety Policy,Mixed feelings about this policy.,neutral,Maharashtra,Nagpur
Harshit,Agriculture Sustainability Act,Happy to see this reform being implemented.,positive,Delhi,New Delhi
Diya,Cybersecurity Protection Policy,A waste of resources and poorly planned.,negative,Gujarat,Ahmedabad
Aditya,Environmental Protection Act,"This will bring positive changes, I support it fully.",positive,Delhi,New Delhi
